route,light_capture,light_renders_light,light_overflow_px,dark_capture,dark_renders_dark,dark_canvas_computed,dark_overflow_px,console_errors_light,console_errors_dark,content_painted_both,pixel_family_verified,same_components_both_themes
/,home-light-390.png,PASS,0,home-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/assets,assets-light-390.png,PASS,0,assets-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/assets/new,assets-new-light-390.png,PASS,0,assets-new-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/cash,cash-light-390.png,PASS,0,cash-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/cash/count,cash-count-light-390.png,PASS,0,cash-count-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/cash/distribute,cash-distribute-light-390.png,PASS,0,cash-distribute-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/cash/transfer,cash-transfer-light-390.png,PASS,0,cash-transfer-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/cash/wallet/new,cash-wallet-new-light-390.png,PASS,0,cash-wallet-new-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/catalog,catalog-light-390.png,PASS,0,catalog-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/collect,collect-light-390.png,PASS,0,collect-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/direct-sales/new,direct-sales-new-light-390.png,PASS,0,direct-sales-new-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/finance,finance-light-390.png,PASS,0,finance-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/finance/activity,finance-activity-light-390.png,PASS,0,finance-activity-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/finance/g5/declaration,finance-g5-declaration-light-390.png,PASS,0,finance-g5-declaration-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/finance/owner-entitlement,finance-owner-entitlement-light-390.png,PASS,0,finance-owner-entitlement-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/finance/statement,finance-statement-light-390.png,PASS,0,finance-statement-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/finance/withdraw,finance-withdraw-light-390.png,PASS,0,finance-withdraw-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/foundation,foundation-light-390.png,PASS,0,foundation-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/inventory,inventory-light-390.png,PASS,0,inventory-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/inventory/material/new,inventory-material-new-light-390.png,PASS,0,inventory-material-new-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/loans,loans-light-390.png,PASS,0,loans-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/loans/new,loans-new-light-390.png,PASS,0,loans-new-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/orders,orders-light-390.png,PASS,0,orders-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/orders/new,orders-new-light-390.png,PASS,0,orders-new-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/parties,parties-light-390.png,PASS,0,parties-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/profile,profile-light-390.png,PASS,0,profile-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/review,review-light-390.png,PASS,0,review-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/schedule,schedule-light-390.png,PASS,0,schedule-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/settings,settings-light-390.png,PASS,0,settings-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/setup,setup-light-390.png,PASS,0,setup-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/share/preview,share-preview-light-390.png,PASS,0,share-preview-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/suppliers,suppliers-light-390.png,PASS,0,suppliers-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/tools,tools-light-390.png,PASS,0,tools-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/tools/calculator,tools-calculator-light-390.png,PASS,0,tools-calculator-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
/tools/integrity,tools-integrity-light-390.png,PASS,0,tools-integrity-dark-390.png,PASS,"rgb(33, 29, 24)",0,0,0,PASS,PASS,PASS
